id,title,release_date,runtime,vote_count,vote_average,overview,genres,production_companies,production_countries,cast,directors,poster_url,trailer_url,movieURL
84308,"Madrid, 1987",2012-04-13,104,68,6.4,"In 1987 Madrid, the unexpected encounter between a seasoned journalist and a young student leads to a profound exploration of love, desire, politics, power, and discovery of each other.",Drama,Buenavida Producciones,Spain,"José Sacristán, María Valverde, Ramon Fontserè, Alberto Ferreiro, Bárbara de Lemus",David Trueba,https://image.tmdb.org/t/p/w500/aCfIPBTn9xX6kZ6miyObL03fMeg.jpg,https://www.youtube.com/watch?v=9SlxD4ZOXxc,https://www.rottentomatoes.com/m/madrid_1987_2012
124555,Silence,2012-07-27,87,6,6.4,"Eoghan is a sound recordist who is returning to Ireland for the first time in 15 years. He has been given an unusual task: to find and record places without man-made sound. His journey takes him away from towns and villages, into remote terrain, to places free from the thumb-print of man.",Drama,Harvest Films,"Germany, Ireland","Eoghan Mac Giolla Bhride, Hilary O'Shaughnessy, Andrew Bennett, Jens K. Müller, Patrick O'Connor, Michael Harding, Tommy Fahy, Tim Robinson, Pater Lacey, Marie Coyne",Pat Collins,https://image.tmdb.org/t/p/w500/qBM5WaXiPTQ37PP6hq91Xjeq8kA.jpg,https://www.youtube.com/watch?v=_ezydfR4JM0,https://www.rottentomatoes.com/m/silence_2017
74387,Goon,2012-01-06,92,977,6.4,"Doug Glatt, a slacker who discovers he has a talent for brawling, is approached by a minor league hockey coach and invited to join the team as the ""muscle."" Despite the fact that Glatt can't skate, his best friend, Pat, convinces him to give it a shot, and Glatt becomes a hero to the team and their fans, until the league's reigning goon becomes threatened by Glatt's success and decides to even the score.","Comedy, Drama","Inferno Pictures, Don Carmody Productions, Caramel Films, No Trace Camping, DragonCove Studios, Myriad Pictures, Taurus Film","Canada, United States of America","Seann William Scott, Marc-André Grondin, Alison Pill, Jay Baruchel, Liev Schreiber, Eugene Levy, Kim Coates, Nicholas Campbell, Richard Clarkin, Jonathan Cherry",Michael Dowse,https://image.tmdb.org/t/p/w500/xLmZCfJici1SdT6zmhDtGVWsXXi.jpg,https://www.youtube.com/watch?v=Jj3mIhLF2kU,https://www.rottentomatoes.com/m/goon
138941,Found,2012-03-30,103,171,6.392,"Marty is the ideal fifth grader—he gets good grades, listens to his teachers and doesn't start trouble in class. But a darkness is beginning to fall over Marty's life, the kids at school won't stop picking on him, his parents just don't seem to understand him, and now Marty must grapple with a terrible secret that threatens to destroy life as he knows it—his big brother is a serial killer.","Horror, Thriller, Drama","The October People, Forbidden Films",United States of America,"Gavin Brown, Ethan Philbeck, Phyllis Munro, Louie Lawless, Alex Kogin, Andy Alphonse, Kitsie Duncan, Kate Braun, Edward Jackson, Adrian Cox-Thurmond",Scott Schirmer,https://image.tmdb.org/t/p/w500/a6KyeVoJ3gyttg8hu32ytSNOYO5.jpg,https://www.youtube.com/watch?v=Eca1gMpVbys,https://www.rottentomatoes.com/m/found_2014
121674,Great Expectations,2012-11-30,128,352,6.392,"Orphan Pip discovers through lawyer Mr. Jaggers that a mysterious benefactor wishes to ensure that he becomes a gentleman. Reunited with his childhood patron, Miss Havisham, and his first love, the beautiful but emotionally cold Estella, he discovers that the elderly spinster has gone mad from having been left at the altar as a young woman, and has made her charge into a warped, unfeeling heartbreaker.","Drama, Romance","Number 9 Films, BBC Film, Unison Films, Lipsync Productions","United Kingdom, United States of America","Jeremy Irvine, Helena Bonham Carter, Ralph Fiennes, Holliday Grainger, Robbie Coltrane, Sally Hawkins, Jason Flemyng, Ewen Bremner, David Walliams, Tamzin Outhwaite",Mike Newell,https://image.tmdb.org/t/p/w500/z9eLxcsNOtoq4dTMDJwr79QR3xd.jpg,https://www.youtube.com/watch?v=Q9RUEgT9zcc,https://www.rottentomatoes.com/m/great_expectations_1947
57800,Ice Age: Continental Drift,2012-06-27,88,7893,6.388,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.","Animation, Comedy, Adventure, Family","Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox",United States of America,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck, Queen Latifah, Jennifer Lopez, Peter Dinklage, Wanda Sykes, Keke Palmer","Mike Thurmeier, Steve Martino",https://image.tmdb.org/t/p/w500/dfp1BZF7FxbBUyzHvMOI9t8NWDD.jpg,https://www.youtube.com/watch?v=0Int9oeZN5o,https://www.rottentomatoes.com/m/ice_age_continental_drift
134597,The Collection,2012-11-30,82,1083,6.4,"Arkin escapes with his life from the vicious grips of ""The Collector"" during an entrapment party where he adds beautiful Elena to his ""Collection."" Instead of recovering from the trauma, Arkin is suddenly abducted from the hospital by mercenaries hired by Elena's wealthy father. Arkin is blackmailed to team up with the mercenaries and track down The Collector's booby trapped warehouse and save Elena.","Horror, Thriller","Fortress Features, LD Entertainment",United States of America,"Josh Stewart, Emma Fitzpatrick, Christopher McDonald, Johanna Braddy, Lee Tergesen, Navi Rawat, Andre Royo, Erin Way, Tim Griffin, Eaddy Mays",Marcus Dunstan,https://image.tmdb.org/t/p/w500/wxUasHKoR8dtInQiXNUknOqi6Ao.jpg,https://www.youtube.com/watch?v=LSH58RofLWg,https://www.rottentomatoes.com/m/the_collection_2012
82675,Taken 2,2012-09-27,91,6892,6.366,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.","Action, Crime, Thriller","EuropaCorp, Grive Productions, M6 Films, 20th Century Fox, Karma Film Prod, Taken 2, Dune Entertainment","France, Turkey, United States of America","Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser, D. B. Sweeney, Jon Gries, Rade Šerbedžija, Luke Grimes, Kevork Malikyan, Alain Figlarz",Olivier Megaton,https://image.tmdb.org/t/p/w500/mGRtQS39DYIu6gXu5mXQsXFGZPO.jpg,https://www.youtube.com/watch?v=otHUjWVgIig,https://www.rottentomatoes.com/m/taken_2_2012
129116,Low Tide,2012-09-02,92,24,6.354,"A 12-year-old boy and his single mother live separate lives. The boy spends his days alone while his mother works and goes out with her friends. The boy’s solitude is both a source of freedom and a cause for grief. His explorations slowly bring to light the dark contrast between the rules of society and the laws of nature. And before long, the delicate balance of his inner world becomes shattered by unforeseen events.",Drama,"Poliana Productions, Ondarosso Films, Pulpa Entertainment, Austin Film Society, Houston Film Commission","Belgium, Italy, United States of America","Daniel Blanchard, Melissa McKinney, Vernon Wilbanks, Colby Trichell, Sid Kelton, Mercedes Rutgers, Troy Herron, James King, Quincey Mixon, Cody Joe Tillman",Roberto Minervini,https://image.tmdb.org/t/p/w500/hf7albzqlxhs7FqGb5lfc3dLEjO.jpg,https://www.youtube.com/watch?v=pUW-wJmPtOc,https://www.rottentomatoes.com/m/low_tide_2018
49529,John Carter,2012-03-07,132,5893,6.353,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","Action, Adventure, Science Fiction",Walt Disney Pictures,United States of America,"Taylor Kitsch, Lynn Collins, Samantha Morton, Mark Strong, Ciarán Hinds, Dominic West, James Purefoy, Willem Dafoe, Thomas Haden Church, Bryan Cranston",Andrew Stanton,https://image.tmdb.org/t/p/w500/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg,https://www.youtube.com/watch?v=WR6HUkzxjR0,https://www.rottentomatoes.com/m/john_carter
